critic_loss,duration,episode,episode_reward,step
-3512.7839435514857,0.6029236316680908,430.0,61.0,32863
-3615.4227542877197,1.2404141426086426,431.0,128.0,32991
-3563.065489477041,1.3169355392456055,432.0,98.0,33090
-3651.5411551339284,0.492999792098999,433.0,49.0,33139
-3682.825973510742,0.4799997806549072,434.0,48.0,33187
-3702.9226650661894,0.7039995193481445,435.0,72.0,33259
-3632.705252511161,0.39870381355285645,436.0,42.0,33301
-3770.5463230298915,0.4354102611541748,437.0,46.0,33347
-3589.573901073042,0.7911818027496338,438.0,83.0,33430
-3917.87372215758,0.4820828437805176,439.0,47.0,33477
-3742.700240652902,0.6909992694854736,440.0,70.0,33547
-3643.2086241395323,1.385118007659912,441.0,143.0,33690
-3687.9627383652555,0.9109933376312256,442.0,93.0,33783
-3923.368927001953,0.24000144004821777,443.0,24.0,33807
-3625.477306831174,0.4049983024597168,444.0,41.0,33848
-3747.404854910714,0.7943365573883057,445.0,84.0,33932
-3656.8565388997395,0.5730016231536865,446.0,60.0,33992
-3894.622769869291,0.7502522468566895,447.0,52.0,34045
-3794.3790658804087,0.518113374710083,448.0,52.0,34097
-3920.7013113839284,0.986100435256958,449.0,105.0,34202
-4357.378611845129,0.3195168972015381,450.0,34.0,34236
-3670.6005067567567,0.3529989719390869,451.0,37.0,34273
-4054.863640280331,0.32654738426208496,452.0,34.0,34307
-4007.5442215768912,0.7236108779907227,453.0,76.0,34383
-3971.9744380482457,0.5479989051818848,454.0,57.0,34440
-3984.691109035326,0.6610000133514404,455.0,69.0,34509
-4109.350279017857,0.6640801429748535,456.0,70.0,34579
-4247.266552734375,0.4759998321533203,457.0,50.0,34629
-3986.574123630276,0.7329981327056885,458.0,77.0,34706
-4211.437163910308,0.7428431510925293,459.0,77.0,34783
-4173.9296875,0.3860006332397461,460.0,39.0,34822
-4017.3055526069975,0.45299386978149414,461.0,46.0,34868
-4213.174586704799,0.8176510334014893,462.0,84.0,34952
-4189.367457463191,1.3550310134887695,463.0,104.0,35057
-4149.817985026041,0.5896530151367188,464.0,60.0,35117
-4378.964364510995,0.5120131969451904,465.0,54.0,35171
-4384.935242385007,0.8411393165588379,466.0,89.0,35260
-4278.647500527872,0.34599828720092773,467.0,37.0,35297
-4028.1293596540177,0.5939998626708984,468.0,63.0,35360
-4418.099359809028,0.42299914360046387,469.0,45.0,35405
-4298.361163961476,0.5580019950866699,470.0,58.0,35463
-4385.420186103145,1.4805669784545898,471.0,158.0,35621
-4199.884744783727,0.7820010185241699,472.0,82.0,35703
-4523.7667302312075,0.7009975910186768,473.0,74.0,35777
-4492.057824966755,0.4620039463043213,474.0,47.0,35824
-4481.68378081879,0.7285895347595215,475.0,77.0,35901
-4227.452442658253,0.36899900436401367,476.0,39.0,35940
-4938.052225748698,0.22999882698059082,477.0,24.0,35964
-4682.0364635836695,0.29199910163879395,478.0,31.0,35995
-4576.764409845526,1.6610007286071777,479.0,132.0,36128
-4586.112008642963,1.1920013427734375,480.0,127.0,36255
-4481.218234080188,0.501002311706543,481.0,53.0,36308
-4745.1878768257475,0.8619954586029053,482.0,92.0,36400
-4554.78565181903,0.6510956287384033,483.0,67.0,36467
-4635.617362780448,0.3969547748565674,484.0,39.0,36506
-4810.7402750651045,0.5949997901916504,485.0,60.0,36566
-4790.307397460938,0.39600086212158203,486.0,40.0,36606
-4943.846932652485,0.7971065044403076,487.0,83.0,36689
-4797.191256009615,0.3679983615875244,488.0,39.0,36728
-4858.4537734375,1.201000452041626,489.0,125.0,36853
-4714.5036002604165,0.7222583293914795,490.0,75.0,36928
-4938.152575370593,1.1128106117248535,491.0,78.0,37007
-4823.127182904412,1.3755035400390625,492.0,136.0,37143
-5044.363884571335,1.8494434356689453,493.0,191.0,37334
-5126.517290507278,0.7118256092071533,494.0,73.0,37407
-4786.619329637097,0.2921602725982666,495.0,31.0,37438
-5040.5740966796875,0.5377364158630371,496.0,56.0,37494
-5256.60977711397,0.6539998054504395,497.0,68.0,37562
-5210.491245202851,0.5409996509552002,498.0,57.0,37619
-5051.678546142578,0.7729997634887695,499.0,80.0,37699
-5163.259422508446,1.1100008487701416,500.0,111.0,37810
-5326.994466145833,0.43200063705444336,501.0,45.0,37855
-4979.783275462963,0.2860715389251709,502.0,27.0,37882
-5315.123132130457,0.6589925289154053,503.0,63.0,37945
-4948.361234624335,0.5115172863006592,504.0,47.0,37992
-5340.6747814360115,1.3021588325500488,505.0,84.0,38077
-5307.392433250344,0.8712775707244873,506.0,91.0,38168
-5326.788805509868,0.5467274188995361,507.0,57.0,38225
-5450.344352722168,0.6079986095428467,508.0,64.0,38289
-5390.315727233887,1.838001012802124,509.0,192.0,38481
-5515.450897034057,1.5849997997283936,510.0,167.0,38648
-5666.193824029738,0.6009993553161621,511.0,62.0,38710
-5415.390996427617,1.109001636505127,512.0,117.0,38827
-5517.285388764881,0.639000654220581,513.0,63.0,38890
-5577.12643569263,0.6299993991851807,514.0,67.0,38957
-5847.811801087622,0.9399988651275635,515.0,51.0,39009
