#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
54.0,54,536.712823
31.0,31,541.3209
66.0,66,541.3369
52.0,52,541.3499
35.0,35,541.357902
98.0,98,541.3809
55.0,55,541.393901
75.0,75,541.4109
32.0,32,541.419901
43.0,43,541.430902
48.0,48,541.4419
31.0,31,546.097372
34.0,34,546.105369
41.0,41,546.115369
38.0,38,546.123369
45.0,45,546.134369
49.0,49,546.145369
44.0,44,546.157372
41.0,41,546.167371
51.0,51,546.179369
60.0,60,546.19337
45.0,45,550.777438
44.0,44,550.787439
52.0,52,550.800436
42.0,42,550.809436
47.0,47,550.820436
47.0,47,550.831436
75.0,75,550.849436
36.0,36,550.857438
92.0,92,550.879436
77.0,77,550.897438
44.0,44,555.450436
37.0,37,555.459436
32.0,32,555.466436
53.0,53,555.478436
32.0,32,555.486437
33.0,33,555.493437
46.0,46,555.504436
85.0,85,555.523436
34.0,34,555.531436
32.0,32,555.540436
52.0,52,560.048436
70.0,70,560.064438
37.0,37,560.072436
36.0,36,560.081436
30.0,30,560.087439
41.0,41,560.097438
34.0,34,560.105436
47.0,47,560.115436
45.0,45,560.126436
56.0,56,560.139436
36.0,36,564.694102
35.0,35,564.703102
32.0,32,564.710102
38.0,38,564.719102
38.0,38,564.727104
49.0,49,564.739093
40.0,40,564.748093
57.0,57,564.761093
42.0,42,564.771093
39.0,39,564.781094
42.0,42,569.324445
58.0,58,569.339447
37.0,37,569.348445
30.0,30,569.355445
77.0,77,569.372445
34.0,34,569.380445
52.0,52,569.393445
44.0,44,569.403445
65.0,65,569.419447
61.0,61,569.433445
47.0,47,574.033756
36.0,36,574.042756
32.0,32,574.049756
36.0,36,574.058756
70.0,70,574.074756
39.0,39,574.083756
39.0,39,574.093344
33.0,33,574.101344
62.0,62,574.115344
49.0,49,574.127347
31.0,31,578.683633
55.0,55,578.695633
36.0,36,578.704633
38.0,38,578.713633
53.0,53,578.725636
67.0,67,578.740633
41.0,41,578.749633
67.0,67,578.765633
40.0,40,578.774633
31.0,31,578.781633
54.0,54,583.360707
53.0,53,583.372706
41.0,41,583.382707
42.0,42,583.392707
68.0,68,583.408709
44.0,44,583.418706
34.0,34,583.427708
59.0,59,583.442708
49.0,49,583.455707
28.0,28,583.462708
40.0,40,588.068247
42.0,42,588.078247
39.0,39,588.088247
30.0,30,588.095247
39.0,39,588.106247
36.0,36,588.116247
34.0,34,588.125247
46.0,46,588.136249
50.0,50,588.149247
42.0,42,588.159249
38.0,38,592.826033
49.0,49,592.839031
32.0,32,592.847031
46.0,46,592.858031
63.0,63,592.873033
32.0,32,592.88103
40.0,40,592.892032
52.0,52,592.905032
63.0,63,592.921031
45.0,45,592.932032
41.0,41,597.559424
49.0,49,597.570426
32.0,32,597.578424
44.0,44,597.588424
30.0,30,597.595424
57.0,57,597.609424
57.0,57,597.623423
44.0,44,597.633424
69.0,69,597.649423
54.0,54,597.661423
67.0,67,602.388121
29.0,29,602.395121
64.0,64,602.409121
32.0,32,602.417121
56.0,56,602.430123
39.0,39,602.439121
65.0,65,602.454123
51.0,51,602.467123
31.0,31,602.474123
28.0,28,602.48012
54.0,54,607.238322
70.0,70,607.255322
40.0,40,607.266322
62.0,62,607.281322
36.0,36,607.289322
52.0,52,607.302322
66.0,66,607.318322
30.0,30,607.326322
56.0,56,607.343322
37.0,37,607.353322
43.0,43,612.150321
38.0,38,612.159322
47.0,47,612.171321
53.0,53,612.184322
62.0,62,612.201322
30.0,30,612.208326
48.0,48,612.223324
46.0,46,612.234322
51.0,51,612.248322
49.0,49,612.261321
54.0,54,616.912322
32.0,32,616.919321
45.0,45,616.930321
36.0,36,616.938321
45.0,45,616.948322
44.0,44,616.959321
32.0,32,616.966321
63.0,63,616.981322
65.0,65,616.996322
40.0,40,617.010324
54.0,54,621.638321
50.0,50,621.649323
38.0,38,621.658321
41.0,41,621.668321
38.0,38,621.677323
45.0,45,621.687321
58.0,58,621.700323
52.0,52,621.713321
54.0,54,621.725323
38.0,38,621.734322
35.0,35,626.29748
37.0,37,626.306481
56.0,56,626.320479
34.0,34,626.32748
43.0,43,626.33848
59.0,59,626.35148
42.0,42,626.36148
38.0,38,626.37048
42.0,42,626.38048
52.0,52,626.39248
41.0,41,630.972939
50.0,50,630.98494
40.0,40,630.993938
32.0,32,631.001938
54.0,54,631.014939
42.0,42,631.023938
50.0,50,631.036938
55.0,55,631.050396
57.0,57,631.063132
40.0,40,631.073132
40.0,40,635.719356
47.0,47,635.731354
26.0,26,635.737355
32.0,32,635.745357
45.0,45,635.755357
35.0,35,635.763354
51.0,51,635.775356
44.0,44,635.785354
46.0,46,635.796356
46.0,46,635.807356
,527.928416
82.0,82,528.327659
103.0,103,528.840406
47.0,47,529.060511
45.0,45,529.27251
65.0,65,529.584304
47.0,47,529.808913
44.0,44,530.009932
41.0,41,530.20879
51.0,51,530.442999
57.0,57,530.705976
39.0,39,530.895974
64.0,64,531.190108
59.0,59,531.475802
41.0,41,531.678805
79.0,79,532.202115
45.0,45,532.411114
35.0,35,532.573662
51.0,51,532.800202
74.0,74,533.131201
42.0,42,533.323201
51.0,51,533.581482
48.0,48,533.806752
40.0,40,534.01095
31.0,31,534.158051
42.0,42,534.3506
42.0,42,534.540535
37.0,37,534.706658
59.0,59,534.976386
63.0,63,535.269529
43.0,43,535.472953
60.0,60,535.754766
34.0,34,535.916766
34.0,34,536.076463
32.0,32,536.226462
32.0,32,536.375464
41.0,41,536.561462
46.0,46,536.885823
77.0,77,537.241823
125.0,125,537.80592
39.0,39,537.981007
43.0,43,538.195007
56.0,56,538.461009
77.0,77,538.820008
44.0,44,539.023008
48.0,48,539.238965
65.0,65,539.529963
44.0,44,539.727248
49.0,49,539.947246
54.0,54,540.194247
37.0,37,540.365245
34.0,34,540.523245
61.0,61,540.812248
66.0,66,541.118902
85.0,85,541.6479
34.0,34,541.829901
67.0,67,542.152901
51.0,51,542.3879
81.0,81,542.768902
48.0,48,542.987901
48.0,48,543.2049
43.0,43,543.408901
32.0,32,543.5659
36.0,36,543.731901
95.0,95,544.166901
33.0,33,544.3209
42.0,42,544.5129
45.0,45,544.716369
41.0,41,544.905371
43.0,43,545.10237
37.0,37,545.270369
59.0,59,545.538371
57.0,57,545.796369
40.0,40,545.982369
77.0,77,546.441369
90.0,90,546.853369
44.0,44,547.060369
73.0,73,547.395369
46.0,46,547.609369
60.0,60,547.881369
29.0,29,548.010369
29.0,29,548.144436
44.0,44,548.348438
39.0,39,548.532436
38.0,38,548.704435
33.0,33,548.850436
43.0,43,549.045437
41.0,41,549.228438
42.0,42,549.417436
50.0,50,549.640436
48.0,48,549.860436
66.0,66,550.162436
32.0,32,550.308437
90.0,90,550.727436
61.0,61,551.141436
57.0,57,551.405438
67.0,67,551.710436
33.0,33,551.875436
56.0,56,552.128437
52.0,52,552.363436
36.0,36,552.524436
58.0,58,552.786436
44.0,44,552.986437
41.0,41,553.171436
36.0,36,553.334437
56.0,56,553.589437
53.0,53,553.829437
39.0,39,554.003436
55.0,55,554.249437
65.0,65,554.541436
32.0,32,554.684436
35.0,35,554.840436
71.0,71,555.161437
60.0,60,555.435436
107.0,107,556.024438
40.0,40,556.207436
53.0,53,556.446436
67.0,67,556.748438
42.0,42,556.941436
48.0,48,557.160436
76.0,76,557.496436
57.0,57,557.753437
57.0,57,558.009436
100.0,100,558.456437
32.0,32,558.597436
44.0,44,558.795436
64.0,64,559.078438
34.0,34,559.231436
53.0,53,559.469436
33.0,33,559.615436
46.0,46,559.824438
43.0,43,560.017437
49.0,49,560.345438
56.0,56,560.602436
45.0,45,560.803437
39.0,39,560.977446
64.0,64,561.263464
51.0,51,561.495485
41.0,41,561.680494
63.0,63,561.98253
36.0,36,562.14555
46.0,46,562.354569
44.0,44,562.555164
67.0,67,562.857187
41.0,41,563.047154
49.0,49,563.269154
40.0,40,563.446133
52.0,52,563.682118
111.0,111,564.183095
91.0,91,564.603112
36.0,36,564.868094
52.0,52,565.106092
33.0,33,565.254075
42.0,42,565.441063
52.0,52,565.676058
42.0,42,565.876077
41.0,41,566.066084
37.0,37,566.235063
36.0,36,566.402054
38.0,38,566.574064
53.0,53,566.814061
61.0,61,567.09394
40.0,40,567.272031
37.0,37,567.438029
36.0,36,567.600033
67.0,67,567.897002
36.0,36,568.060972
35.0,35,568.220012
53.0,53,568.458142
34.0,34,568.612423
32.0,32,568.756006
62.0,62,569.031444
33.0,33,569.176444
44.0,44,569.504444
30.0,30,569.653448
31.0,31,569.803009
59.0,59,570.06901
46.0,46,570.278011
30.0,30,570.417011
62.0,62,570.698011
64.0,64,570.987577
44.0,44,571.185577
42.0,42,571.378576
38.0,38,571.549575
51.0,51,571.779577
48.0,48,572.013268
38.0,38,572.183421
53.0,53,572.420005
33.0,33,572.570511
40.0,40,572.753453
48.0,48,572.972482
60.0,60,573.250756
48.0,48,573.469759
61.0,61,573.764757
49.0,49,573.981757
42.0,42,574.276357
53.0,53,574.525873
59.0,59,574.790857
37.0,37,574.960857
38.0,38,575.133854
